,icpsr_id,name,congress,party_status,committee_party_rank,party,state,committee
1133,7271,"Payne, Frederick G.",84,2,7,Republican,ME,"Commerce, Science and Transportation"
1134,0301,"Wofford, Thomas A.",84,6,1,Democrat,SC,"Commerce, Science and Transportation"
1135,5240,"Kilgore, Harley M.",84,1,1,Democrat,WV,Judiciary
1136,2822,"Eastland, James O.",84,1,2,Democrat,MS,Judiciary
1137,5122,"Kefauver, C. Estes",84,1,3,Democrat,TN,Judiciary
1138,5009,"Johnston, Olin D.",84,1,4,Democrat,SC,Judiciary
1139,4328,"Hennings, Thomas C. Jr.",84,1,5,Democrat,MO,Judiciary
1140,6151,"McClellan, John L.",84,1,6,Democrat,AR,Judiciary
1141,2326,"Daniel, Price M.",84,1,7,Democrat,TX,Judiciary
1142,7070,"O'Mahoney, Joseph C.",84,1,8,Democrat,WY,Judiciary
1143,0110,"Wiley, Alexander",84,2,1,Republican,WI,Judiciary
1144,5452,"Langer, William",84,2,2,Republican,ND,Judiciary
1145,4922,"Jenner, William E.",84,2,3,Republican,IN,Judiciary
1146,9865,"Watkins, Arthur V.",84,2,4,Republican,UT,Judiciary
1147,2609,"Dirksen, Everett McK.",84,2,5,Republican,IL,Judiciary
1148,9930,"Welker, Herman",84,2,6,Republican,ID,Judiciary
1149,1341,"Butler, John Marshall",84,2,7,Republican,MD,Judiciary
1150,6856,"Neely, Matthew M.",84,6,1,Democrat,WV,Judiciary
1151,4418,"Hill, J. Lister",84,1,1,Democrat,AL,Labor and Human Resources
1152,6820,"Murray, James E.",84,1,2,Democrat,MT,Labor and Human Resources
1153,6856,"Neely, Matthew M.",84,1,3,Democrat,WV,Labor and Human Resources
1154,2691,"Douglas, Paul H.",84,1,4,Democrat,IL,Labor and Human Resources
1155,5591,"Lehman, Herbert H.",84,1,5,Democrat,NY,Labor and Human Resources
1156,5180,"Kennedy, John F.",84,1,6,Democrat,MA,Labor and Human Resources
1157,6366,"McNamara, Patrick V.",84,1,7,Democrat,MI,Labor and Human Resources
1158,8635,"Smith, H. Alexander",84,2,1,Republican,NJ,Labor and Human Resources
1159,4834,"Ives, Irving M.",84,2,2,Republican,NY,Labor and Human Resources
1160,7656,"Purtell, William A.",84,2,3,Republican,CT,Labor and Human Resources
1161,3658,"Goldwater, Barry M.",84,2,4,Republican,AZ,Labor and Human Resources
1162,621,"Bender, George H.",84,2,5,Republican,OH,Labor and Human Resources
1163,142,"Allott, Gordon L.",84,2,6,Republican,CO,Labor and Human Resources
1164,4737,"Humphreys, Robert",84,6,1,,KY,Labor and Human Resources
1165,5009,"Johnston, Olin D.",84,1,1,Democrat,SC,Post Office and Civil Service
1166,6856,"Neely, Matthew M.",84,1,2,Democrat,WV,Post Office and Civil Service
1167,7229,"Pastore, John O.",84,1,3,Democrat,RI,Post Office and Civil Service
1168,6597,"Monroney, A. S. Mike",84,1,4,Democrat,OK,Post Office and Civil Service
1169,4328,"Hennings, Thomas C. Jr.",84,1,5,Democrat,MO,Post Office and Civil Service
1170,8313,"Scott, W. Kerr",84,1,6,Democrat,NC,Post Office and Civil Service
1171,6882,"Neuberger, Richard L.",84,1,7,Democrat,OR,Post Office and Civil Service
1172,1510,"Carlson, Frank",84,2,1,Republican,KS,Post Office and Civil Service
1173,4922,"Jenner, William E.",84,2,2,Republican,IN,Post Office and Civil Service
1174,5452,"Langer, William",84,2,3,Republican,ND,Post Office and Civil Service
1175,2267,"Curtis, Carl T.",84,2,4,Republican,NE,Post Office and Civil Service
1176,6039,"Martin, Thomas E.",84,2,5,Republican,IA,Post Office and Civil Service
1177,1569,"Case, Clifford P.",84,2,6,Republican,NJ,Post Office and Civil Service
1178,5411,"Laird, William R. III",84,6,1,Democrat,WV,Post Office and Civil Service
